Embedding,Predictor,MAE,R2
PCA_0,LinearRegression,14.848131349089169,-0.0010288815032149178
PCA_0,Lasso,14.84798044732484,-0.0010113619646061832
PCA_0,Ridge,14.848131349089135,-0.0010288815032103659
