Embedding,Predictor,MAE,R2
VAEEG,LinearRegression,14.865064478435318,-0.000834142580011843
VAEEG,Lasso,18.522320235827124,-203.23883903705206
VAEEG,Ridge,21.630034310003985,-704.645033814804
