Embedding,Predictor,MAE,R2
PCA_0,LinearRegression,14.829092155564307,-0.0012919686225899563
PCA_0,Lasso,14.8289544564316,-0.0012770900012361696
PCA_0,Ridge,14.828954456865162,-0.0012770900532278918
PCA_0,RandomForest,11.349700126315607,0.3459690829934264
